full.tax.name
Trochetia uniflora
Urena lobata
Memecylon cordatum
Memecylon laxiflorum
Memecylon ovatifolium
Warneckea trinenis
Turraea dargentiana
Turraea oppositifolia
Turraea ovata
Turraea rigida
Turraea rutilans
Turraea thouarsiana
Turraea trichopoda
Cissampelos pareira
Nymphoides indica
Monimia ovalifolia
Tambourissa amplifolia
Tambourissa cocottensis
Tambourissa cordifolia
Tambourissa ficus
Tambourissa pedicellata
Tambourissa peltata
Tambourissa quadrifida
Tambourissa sieberi
Tambourissa tau
Tambourissa tetragona
Ficus densifolia
Ficus lateriflora
Ficus mauritiana
Ficus reflexa
Ficus rubra
Eugenia alletiana
Eugenia bojeri
Eugenia crassipetala
Eugenia elliptica
Eugenia hastilis
Eugenia kanakana
Eugenia longuensis
Eugenia lucida
Eugenia neofasciculata
Eugenia orbiculata
Eugenia petrinensis
Eugenia pixidata
Eugenia pollicina
Eugenia psidioideum
Eugenia sieberi
Eugenia tinifolia
Eugenia vaughanii
Psiloxylon mauritianum
Syzygium bijouxii
Syzygium commersonii
Syzygium contractum
Syzygium coriaceum
Syzygium cymosum
Syzygium duponti
Syzygium glomeratum
Syzygium guehoi
Syzygium latifolium
Syzygium mamillatum
Syzygium mauritianum
Syzygium petrinense
Syzygium populifolium
Syzygium pyneei
Syzygium rampans
Syzygium vaughanii
Boerhavia coccinea
Pisonia costata
Pisonia lanceolata
Nymphea nouchali
Ochna mauritiana
Olax psittacorum
Jasminum fluminense
Noronhia broomeana
Noronhia macrophylla
Noronhia obovata
Olea europea
Olea lancea
Ludwigia adscendens
Ludwigia decurrens
Ludwigia octovalvis
Aeranthes arachnitis
Aeranthes tenella
Angraecopsis parviflora
Angraecum cadetti
Angraecum calceolus
Angraecum caulenses
Angraecum cuculatum
Angraecum eburneum
Angraecum expansum
Angraecum gracile
Angraecum inapertum
Angraecum jeannineanum
Angraecum liliodorum
Angraecum mauritianum
Angraecum multiflorum
Angraecum obversifolium
Angraecum palmiforme
Angraecum parvulum
Angraecum pectinatum
Angraecum pingue
Angraecum ramosum
Angraecum 
Beclardia macrostachya
Benthamia chlorantha
Benthamia spiralis
Bulbophyllum caespitosum
Bulbophyllum clavatum
Bulbophyllum conicum
Bulbophyllum densum
Bulbophyllum elliotii
Bulbophyllum gracile
Bulbophyllum incurvum
Bulbophyllum longiflorum
Bulbophyllum nigriflorum
Bulbophyllum nutans
Bulbophyllum occultum
Bulbophyllum pendulum
Bulbophyllum prismaticum
Bulbophyllum sambiranense
Bulbophyllum variegatum
Bulbophyllum 
Calanthe candida
Calanthe sylvatica
Cheirostylis nuda
Corymborkis corymbis
Cryptoptus elatus
Cynorkis boryana
Cynorkis cylindrostachys
Cynorkis fastigiata
Cynorkis graminea
Cynorkis inermis
Cynorkis purpurascens
Disperis cordata
Disperis oppositifolia
Disperis tripetaloides
Graphorkis concolor
Habernaria lancifolia
Habernaria praealta
Habernaria vesiculosa
Hederorkis scandens
Jumellea exilis
Jumellea fragrans
Jumellea recta
Jumellea recurva
Jumellea rossii
Jumellea triquetra
Liparis caespitosa
Liparis disticha
Liparis flavescens
Liparis salassia
Nervilia bicarinata
Nervilia simplex
Oberonia disticha
Oeceoclades maculata
Oeceoclades pulchra
Oeoniella polystachys
Peristyllus flexuosus
Phaius longibracteatus
Phaius pulchellus
Phaius tetragonus
Platylepis occulta
Polystachia concreta
Polystachia cultriformis
Polystachia fusiformis
Polystachia jubaultii
Polystachia rosea
Microcoelia aphylla
Taeniophyllum coxii
Alectra sessiliflora
Striga asiatica
Pandanus barkleyi
Pandanus charmichaelli
Pandanus conglomeratus
Pandanus drupaceus
Pandanus eydouxia
Pandanus glaucocephalus
Pandanus iceryi
Pandanus incertus
Pandanus macrostigma
Pandanus microcarpus
Pandanus obsoletus
Pandanus palustris
Pandanus prostratus
Pandanus pseudomontanus
Pandanus pyramidalis
Pandanus rigidifolius
