id	taxonID	acceptedNameUsageID	scientificName	namePublishedIn	namePublishedInYear	kingdom	phylum	class	order	family	genus	specificEpithet	full.tax.name	taxonRank	scientificNameAuthorship	vernacularName	taxonomicStatus	taxonRemarks	language
MUS_030	MUS_030		Polyscias gracilis Marais			Plantae	Tracheophyta	Magnoliopsida	Apiales	Araliaceae	Polyscias	gracilis	Polyscias gracilis	species	Marais		accepted		
MUS_031	MUS_031		Polyscias mauritiana Marais			Plantae	Tracheophyta	Magnoliopsida	Apiales	Araliaceae	Polyscias	mauritiana	Polyscias mauritiana	species	Marais		accepted		
MUS_032	MUS_032		Polyscias neraudiana (Drake) Harms ex R.Vig.			Plantae	Tracheophyta	Magnoliopsida	Apiales	Araliaceae	Polyscias	neraudiana	Polyscias neraudiana	species	(Drake) Harms ex R.Vig.		accepted		
MUS_033	MUS_033		Polyscias paniculata (DC.) Baker			Plantae	Tracheophyta	Magnoliopsida	Apiales	Araliaceae	Polyscias	paniculata	Polyscias paniculata	species	(DC.) Baker		accepted		
MUS_034	MUS_034		Acanthophoenix rubra (Bory) H. Wendl.			Plantae	Tracheophyta	Liliopsida	Arecales	Arecaceae	Acanthophoenix	rubra	Acanthophoenix rubra	species	(Bory) H. Wendl.		accepted		
MUS_035	MUS_035		Dictyosperma album (Bory) H. Wendl. & Drude ex Scheff.			Plantae	Tracheophyta	Liliopsida	Arecales	Arecaceae	Dictyosperma	album	Dictyosperma album	species	(Bory) H. Wendl. & Drude ex Scheff.		accepted		
MUS_036	MUS_036		Hyophorbe amaricaulis Mart.			Plantae	Tracheophyta	Liliopsida	Arecales	Arecaceae	Hyophorbe	amaricaulis	Hyophorbe amaricaulis	species	Mart.		accepted		
MUS_037	MUS_037		Hyophorbe lagenicaulis (L.H. Bailey) H.E. Moore			Plantae	Tracheophyta	Liliopsida	Arecales	Arecaceae	Hyophorbe	lagenicaulis	Hyophorbe lagenicaulis	species	(L.H. Bailey) H.E. Moore		accepted		
MUS_038	MUS_038		Hyophorbe vaughanii L.H. Bailey			Plantae	Tracheophyta	Liliopsida	Arecales	Arecaceae	Hyophorbe	vaughanii	Hyophorbe vaughanii	species	L.H. Bailey		accepted		
MUS_039	MUS_039		Latania loddigesii Mart.			Plantae	Tracheophyta	Liliopsida	Arecales	Arecaceae	Latania	loddigesii	Latania loddigesii	species	Mart.		accepted		
MUS_040	MUS_040		Tectiphiala ferox H.E. Moore			Plantae	Tracheophyta	Liliopsida	Arecales	Arecaceae	Tectiphiala	ferox	Tectiphiala ferox	species	H.E. Moore		accepted		
MUS_041	MUS_041		Asparagus umbellulatus Bresler			Plantae	Tracheophyta	Liliopsida	Asparagales	Asparagaceae	Asparagus	umbellulatus	Asparagus umbellulatus	species	Bresler		accepted		
MUS_042	MUS_042		Cordyline mauritiana (Lam.) J.F. Macbride			Plantae	Tracheophyta	Liliopsida	Asparagales	Asparagaceae	Cordyline	mauritiana	Cordyline mauritiana	species	(Lam.) J.F. Macbride		accepted		
MUS_043	MUS_043		Dracaena concinna Kunth			Plantae	Tracheophyta	Liliopsida	Asparagales	Asparagaceae	Dracaena	concinna	Dracaena concinna	species	Kunth		accepted		
MUS_044	MUS_044		Dracaena floribunda Baker			Plantae	Tracheophyta	Liliopsida	Asparagales	Asparagaceae	Dracaena	floribunda	Dracaena floribunda	species	Baker		accepted		
MUS_045	MUS_045		Dracaena reflexa Lam.			Plantae	Tracheophyta	Liliopsida	Asparagales	Asparagaceae	Dracaena	reflexa	Dracaena reflexa	species	Lam.		accepted		
MUS_046	MUS_046		Aloe purpurea Lam.			Plantae	Tracheophyta	Liliopsida	Asparagales	Asphodelaceae	Aloe	purpurea	Aloe purpurea	species	Lam.		accepted		
